mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,s_demand,Note
0.5,0.11,0.475,1.4,0.2,0.3,806.9393718,4,0.25,Var 0.11'
0.5,0.15,0.475,1.4,0.2,0.3,806.9393718,4,0.25,Var 0.15'
0.5,0.08,0.475,1.4,0.2,0.3,806.9393718,4,0.25,Var 0.08'
0.5,0.11,0.25,1.4,0.2,0.3,806.9393718,4,0.25,S price low'
0.5,0.11,0.475,0.3,0.2,0.3,806.9393718,4,0.25,Var 0.11'
0.5,0.15,0.475,0.3,0.2,0.3,806.9393718,4,0.25,Var 0.15'
0.5,0.08,0.475,0.3,0.2,0.3,806.9393718,4,0.25,Var 0.08'
0.5,0.11,0.25,0.3,0.2,0.3,806.9393718,4,0.25,S price low'
