mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,s_demand,Note
0.5,0.11,10000,1.4,0.2,0.3,806.9393718,4,0.25,NA
0.5,0.11,10000,1.4,0.2,0.1,110.84,4,0.25,NA
0.5,0.11,10000,1.4,0.2,0.05,67.48,4,0.25,NA
0.5,0.11,500,1.4,0.2,0.3,806.9393718,4,0.25,NA
