mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,Note
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
