mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,Note
0.5,0.002,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0039,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0058,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0077,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0096,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0115,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0134,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0153,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0172,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0191,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.021,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0229,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0248,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0267,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0286,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0305,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0324,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0343,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0362,0.475,1.4,0.2,0.1,43.42,4,baseline medium elas
0.5,0.0381,0.475,1.4,0.2,0.1,43.42,4,double supply var medium elas
0.5,0.04,0.475,1.4,0.2,0.1,43.42,4,triple supply var medium elas
0.5,0.0419,0.475,1.4,0.2,0.1,43.42,4,Half supply var medium elas
0.5,0.0438,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0457,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0476,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0495,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0514,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0533,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0552,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0571,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.059,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0609,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0628,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0647,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0666,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0685,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0704,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0723,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0742,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0761,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.078,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0799,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0818,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0837,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0856,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0875,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0894,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0913,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0932,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0951,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.097,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.0989,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1008,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1027,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1046,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1065,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1084,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1103,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1122,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1141,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.116,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1179,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1198,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1217,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1236,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1255,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1274,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1293,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1312,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1331,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.135,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1369,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1388,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1407,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1426,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1445,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1464,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1483,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1502,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1521,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.154,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1559,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1578,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1597,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1616,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1635,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1654,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1673,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1692,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1711,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.173,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1749,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1768,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1787,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1806,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1825,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1844,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1863,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.1882,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
0.5,,0.475,1.4,0.2,0.1,43.42,4,
