mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,Note
0.5,0.11,0.475,1.4,0.2,0.05,25.86,4,Var 0.11'
0.5,0.15,0.475,1.4,0.2,0.05,25.86,4,Var 0.15'
0.5,0.08,0.475,1.4,0.2,0.05,25.86,4,Var 0.08'
0.5,0.11,0.425,1.4,0.2,0.05,25.86,4,S price low'
